order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,pickup_zone_standardized,dropoff_zone_standardized
O00049,C0380,Passenger,2024-12-19 23:58:00,2,WEST,SOUTH,Low,1970-01-01 00:00:00.000000066,Phone,1,West Zone,South Zone
O00050,C0544,Passenger,2024-03-29 13:44:00,1,NORTH,Ctr,Low,1970-01-01 00:00:00.000000033,App,0,North Zone,Ctr
O00051,C0185,Business,2025-02-07 23:39:00,12,AIRPORT,EAST,Critical,1970-01-01 00:00:00.000000014,Web,1,Airport,East Zone
O00052,C0150,Retail,2024-08-14 08:33:00,12,north,Riverside,Medium,1970-01-01 00:00:00.000000293,API,0,North Zone,Riverside
O00053,C0054,Parcel,2024-04-02 11:27:00,24,East,East,Low,1970-01-01 00:00:00.000000073,App,0,East Zone,East Zone
O00054,C0478,Medical,2025-03-29 10:44:00,4,NORTH,north,Low,1970-01-01 00:00:00.000000054,Web,0,North Zone,North Zone
O00055,C0454,Retail,2025-05-30 23:44:00,2,Airport,RiverSide,Medium,1970-01-01 00:00:00.000000073,App,0,Airport,Riverside
O00056,C0271,Parcel,2025-10-05 20:28:00,4,South,CENTRAL,High,1970-01-01 00:00:00.000000160,Web,0,South Zone,Central Zone
O00057,C0226,Business,2025-06-04 01:43:00,4,East,North,Medium,1970-01-01 00:00:00.000000194,App,0,East Zone,North Zone
O00058,C0083,Passenger,2025-12-16 06:27:00,2,South,EAST,Critical,1970-01-01 00:00:00.000000051,Web,0,South Zone,East Zone
O00059,C0640,Passenger,2025-11-20 16:54:00,2,CENTRAL,Airport,Medium,1970-01-01 00:00:00.000000020,Web,0,Central Zone,Airport
O00060,C0258,Medical,2024-05-10 15:48:00,6,north,EAST,Critical,1970-01-01 00:00:00.000000037,Web,0,North Zone,East Zone
O00061,C0289,Passenger,2024-07-12 01:44:00,6,AIRPORT,north,High,1970-01-01 00:00:00.000000238,Web,1,Airport,North Zone
O00062,C0177,Passenger,2025-07-26 08:11:00,4,West,AIRPORT,Medium,1970-01-01 00:00:00.000000045,Web,0,West Zone,Airport
O00063,C0168,Retail,2025-07-13 05:49:00,12,SOUTH,AIRPORT,Low,1970-01-01 00:00:00.000000057,App,0,South Zone,Airport
O00064,C0346,Business,2025-10-14 07:34:00,12,Central,RiverSide,High,1970-01-01 00:00:00.000000045,App,0,Central Zone,Riverside
O00065,C0285,Parcel,2024-09-23 07:03:00,4,SOUTH,West,High,1970-01-01 00:00:00.000000061,App,0,South Zone,West Zone
O00066,C0421,Passenger,2024-06-21 11:22:00,4,SOUTH,EAST,Low,1970-01-01 00:00:00.000000237,App,0,South Zone,East Zone
O00067,C0339,Passenger,2025-02-25 02:12:00,6,WEST,WEST,Critical,1970-01-01 00:00:00.000000131,Web,0,West Zone,West Zone
O00068,C0084,Parcel,2025-10-13 09:08:00,2,RiverSide,East,Medium,1970-01-01 00:00:00.000000040,App,0,Riverside,East Zone
O00069,C0369,Passenger,2024-05-19 21:45:00,12,AIRPORT,RiverSide,Medium,1970-01-01 00:00:00.000000103,Phone,1,Airport,Riverside
O00070,C0125,Retail,2025-05-13 21:30:00,4,Ctr,AIRPORT,Low,1970-01-01 00:00:00.000000165,App,0,Ctr,Airport
O00071,C0109,Medical,2024-08-31 22:15:00,1,North,SOUTH,Low,1970-01-01 00:00:00.000000157,Phone,0,North Zone,South Zone
O00072,C0060,Medical,2024-01-07 16:44:00,2,WEST,Riverside,Medium,1970-01-01 00:00:00.000000007,App,0,West Zone,Riverside
O00073,C0331,Passenger,2025-03-31 04:59:00,4,Ctr,South,High,1970-01-01 00:00:00.000000030,App,0,Ctr,South Zone
O00074,C0644,Parcel,2025-10-18 11:44:00,6,Riverside,Riverside,Critical,1970-01-01 00:00:00.000000020,App,0,Riverside,Riverside
O00075,C0026,Business,2024-11-02 04:56:00,2,North,East,Medium,1970-01-01 00:00:00.000000085,Web,0,North Zone,East Zone
O00076,C0075,Retail,2025-12-25 04:37:00,4,Ctr,Riverside,Low,1970-01-01 00:00:00.000000100,Phone,0,Ctr,Riverside
O00077,C0543,Medical,2025-07-30 07:21:00,4,RiverSide,CENTRAL,Low,1970-01-01 00:00:00.000000150,App,0,Riverside,Central Zone
O00078,C0434,Parcel,2025-10-06 03:35:00,6,WEST,Riverside,Medium,1970-01-01 00:00:00.000000094,App,0,West Zone,Riverside
O00079,C0353,Parcel,2025-03-10 05:43:00,2,WEST,AIRPORT,Medium,1970-01-01 00:00:00.000000048,App,0,West Zone,Airport
O00080,C0082,Parcel,2025-11-13 04:38:00,4,SOUTH,SOUTH,Medium,1970-01-01 00:00:00.000000135,App,0,South Zone,South Zone
O00081,C0004,Passenger,2025-04-17 12:53:00,6,WEST,Airport,Low,1970-01-01 00:00:00.000000208,App,0,West Zone,Airport
O00082,C0531,Retail,2024-07-30 03:44:00,12,Central,WEST,Medium,1970-01-01 00:00:00.000000036,App,0,Central Zone,West Zone
O00083,C0215,Medical,2024-10-23 00:23:00,2,Airport,SOUTH,Low,1970-01-01 00:00:00.000000127,App,0,Airport,South Zone
O00084,C0103,Passenger,2025-05-13 06:02:00,4,West,North,High,1970-01-01 00:00:00.000000157,Phone,1,West Zone,North Zone
O00085,C0505,Passenger,2024-03-02 08:19:00,4,north,Riverside,Low,1970-01-01 00:00:00.000000023,App,0,North Zone,Riverside
O00086,C0255,Passenger,2024-07-20 03:44:00,4,CENTRAL,AIRPORT,High,1970-01-01 00:00:00.000000066,App,0,Central Zone,Airport
O00087,C0476,Business,2024-11-12 14:07:00,4,SOUTH,north,Critical,1970-01-01 00:00:00.000000056,Phone,0,South Zone,North Zone
O00088,C0157,Medical,2024-06-14 10:28:00,24,RiverSide,East,Low,1970-01-01 00:00:00.000000101,App,0,Riverside,East Zone
O00089,C0339,Medical,2025-04-24 18:23:00,6,South,North,High,1970-01-01 00:00:00.000000052,Web,1,South Zone,North Zone
O00090,C0490,Business,2024-10-23 05:35:00,4,RiverSide,SOUTH,Medium,1970-01-01 00:00:00.000000086,App,0,Riverside,South Zone
O00091,C0564,Parcel,2024-03-14 01:00:00,6,West,AIRPORT,Critical,1970-01-01 00:00:00.000000043,Web,0,West Zone,Airport
O00092,C0268,Retail,2025-04-24 15:05:00,6,SOUTH,East,Medium,1970-01-01 00:00:00.000000056,Web,0,South Zone,East Zone
O00093,C0083,Business,2024-12-05 23:36:00,4,Ctr,West,Low,1970-01-01 00:00:00.000000184,Web,0,Ctr,West Zone
O00094,C0361,Parcel,2024-09-27 03:41:00,6,Airport,NORTH,Medium,1970-01-01 00:00:00.000000062,Phone,0,Airport,North Zone
O00095,C0378,Medical,2025-05-15 13:31:00,24,SOUTH,NORTH,Low,1970-01-01 00:00:00.000000103,App,0,South Zone,North Zone
O00096,C0441,Business,2024-07-13 17:20:00,2,North,WEST,Critical,1970-01-01 00:00:00.000000153,Web,0,North Zone,West Zone
O00097,C0303,Parcel,2024-01-09 11:58:00,24,Airport,Airport,Medium,1970-01-01 00:00:00.000000072,App,1,Airport,Airport
O00098,C0586,Passenger,2024-04-03 20:18:00,1,North,SOUTH,Medium,1970-01-01 00:00:00.000000079,Phone,0,North Zone,South Zone
O00099,C0079,Retail,2025-10-04 19:59:00,12,AIRPORT,EAST,Low,1970-01-01 00:00:00.000000075,App,0,Airport,East Zone
O00100,C0300,Passenger,2025-10-30 22:16:00,6,RiverSide,NORTH,Medium,1970-01-01 00:00:00.000000023,Web,0,Riverside,North Zone
O00101,C0633,Parcel,2025-10-30 07:05:00,24,WEST,WEST,Low,1970-01-01 00:00:00.000000042,App,0,West Zone,West Zone
O00102,C0253,Passenger,2024-05-21 23:01:00,2,CENTRAL,north,High,1970-01-01 00:00:00.000000146,App,0,Central Zone,North Zone
O00103,C0456,Business,2024-01-26 12:53:00,12,SOUTH,WEST,Low,1970-01-01 00:00:00.000000077,App,0,South Zone,West Zone
O00104,C0395,Passenger,2024-05-28 09:23:00,4,EAST,Central,Medium,1970-01-01 00:00:00.000000034,Web,0,East Zone,Central Zone
O00105,C0070,Passenger,2024-07-09 20:33:00,4,north,EAST,High,1970-01-01 00:00:00.000000018,Web,0,North Zone,East Zone
O00106,C0065,Business,2025-11-29 05:06:00,6,East,Riverside,Low,1970-01-01 00:00:00.000000068,App,0,East Zone,Riverside
O00107,C0205,Medical,2024-11-13 23:39:00,2,RiverSide,Ctr,Low,1970-01-01 00:00:00.000000182,App,0,Riverside,Ctr
O00108,C0046,Medical,2024-11-30 12:11:00,12,WEST,EAST,Medium,1970-01-01 00:00:00.000000070,App,0,West Zone,East Zone
O00109,C0427,Medical,2025-10-24 11:20:00,4,WEST,EAST,Medium,1970-01-01 00:00:00.000000009,App,0,West Zone,East Zone
O00110,C0446,Passenger,2024-08-23 11:08:00,4,Central,South,Low,1970-01-01 00:00:00.000000072,App,0,Central Zone,South Zone
O00111,C0521,Retail,2025-07-18 11:53:00,24,EAST,Central,Medium,1970-01-01 00:00:00.000000052,Web,0,East Zone,Central Zone
O00112,C0051,Passenger,2024-09-16 07:03:00,2,CENTRAL,West,Medium,1970-01-01 00:00:00.000000086,App,0,Central Zone,West Zone
O00113,C0640,Business,2024-02-12 03:36:00,2,EAST,north,High,1970-01-01 00:00:00.000000113,App,0,East Zone,North Zone
O00114,C0144,Business,2025-10-05 22:25:00,12,SOUTH,Riverside,High,1970-01-01 00:00:00.000000015,App,1,South Zone,Riverside
O00115,C0157,Passenger,2024-02-21 06:31:00,6,East,north,High,1970-01-01 00:00:00.000000256,Web,0,East Zone,North Zone
O00116,C0452,Passenger,2025-03-09 15:46:00,4,NORTH,Airport,Low,1970-01-01 00:00:00.000000056,API,0,North Zone,Airport
O00117,C0516,Passenger,2024-06-10 09:38:00,12,EAST,SOUTH,Medium,1970-01-01 00:00:00.000000087,Phone,0,East Zone,South Zone
O00118,C0087,Retail,2025-08-18 20:05:00,6,South,SOUTH,Medium,1970-01-01 00:00:00.000000074,App,0,South Zone,South Zone
O00119,C0229,Medical,2024-05-25 22:14:00,4,NORTH,NORTH,Low,1970-01-01 00:00:00.000000066,App,0,North Zone,North Zone
O00120,C0182,Passenger,2024-06-16 04:28:00,6,Airport,NORTH,Medium,1970-01-01 00:00:00.000000085,Phone,1,Airport,North Zone
O00121,C0604,Parcel,2025-10-14 12:05:00,6,EAST,NORTH,Medium,1970-01-01 00:00:00.000000075,App,1,East Zone,North Zone
O00122,C0597,Medical,2024-02-10 14:30:00,1,RiverSide,NORTH,Medium,1970-01-01 00:00:00.000000027,App,0,Riverside,North Zone
O00123,C0649,Retail,2024-07-14 06:46:00,2,WEST,EAST,High,1970-01-01 00:00:00.000000021,App,0,West Zone,East Zone
O00124,C0481,Passenger,2025-01-16 00:02:00,24,CENTRAL,Airport,Low,1970-01-01 00:00:00.000000034,Web,1,Central Zone,Airport
O00125,C0191,Retail,2025-09-17 16:27:00,24,West,South,Medium,1970-01-01 00:00:00.000000070,App,0,West Zone,South Zone
O00126,C0146,Parcel,2024-05-26 09:04:00,12,AIRPORT,South,Medium,1970-01-01 00:00:00.000000055,Web,0,Airport,South Zone
O00127,C0572,Parcel,2025-11-08 01:32:00,2,East,North,Medium,1970-01-01 00:00:00.000000171,App,0,East Zone,North Zone
O00128,C0611,Medical,2025-12-28 13:56:00,24,Airport,Airport,Medium,1970-01-01 00:00:00.000000136,App,0,Airport,Airport
O00129,C0538,Retail,2024-12-12 02:28:00,12,Central,north,High,1970-01-01 00:00:00.000000063,Phone,0,Central Zone,North Zone
O00130,C0259,Passenger,2024-01-10 21:52:00,6,Central,Airport,Medium,1970-01-01 00:00:00.000000077,App,0,Central Zone,Airport
O00131,C0478,Retail,2024-06-29 23:10:00,24,East,WEST,Medium,1970-01-01 00:00:00.000000014,App,0,East Zone,West Zone
O00132,C0224,Passenger,2025-01-22 09:00:00,2,Ctr,CENTRAL,Medium,1970-01-01 00:00:00.000000011,App,0,Ctr,Central Zone
O00133,C0365,Passenger,2025-03-29 18:43:00,24,Airport,North,Medium,1970-01-01 00:00:00.000000128,API,1,Airport,North Zone
O00134,C0010,Parcel,2024-12-22 18:12:00,4,South,West,Critical,1970-01-01 00:00:00.000000023,App,0,South Zone,West Zone
O00135,C0364,Passenger,2025-04-25 02:34:00,24,RiverSide,North,Low,1970-01-01 00:00:00.000000118,App,0,Riverside,North Zone
O00136,C0413,Medical,2024-11-27 16:29:00,1,North,South,High,1970-01-01 00:00:00.000000020,App,0,North Zone,South Zone
O00137,C0295,Parcel,2025-03-14 17:58:00,12,East,SOUTH,High,1970-01-01 00:00:00.000000081,App,0,East Zone,South Zone
O00138,C0149,Business,2025-10-02 04:25:00,2,South,AIRPORT,Medium,1970-01-01 00:00:00.000000099,Phone,0,South Zone,Airport
O00139,C0545,Retail,2025-09-15 19:05:00,2,WEST,AIRPORT,High,1970-01-01 00:00:00.000000004,Web,0,West Zone,Airport
O00140,C0621,Passenger,2024-03-02 23:43:00,4,NORTH,North,Low,1970-01-01 00:00:00.000000089,App,0,North Zone,North Zone
O00141,C0605,Business,2024-12-05 19:42:00,1,North,SOUTH,High,1970-01-01 00:00:00.000000083,Web,0,North Zone,South Zone
O00142,C0628,Retail,2024-10-31 18:36:00,12,Ctr,Airport,High,1970-01-01 00:00:00.000000083,API,0,Ctr,Airport
O00143,C0545,Passenger,2025-03-07 11:30:00,24,Ctr,CENTRAL,Medium,1970-01-01 00:00:00.000000069,App,0,Ctr,Central Zone
O00144,C0063,Business,2025-11-03 20:08:00,4,Riverside,Central,High,1970-01-01 00:00:00.000000288,App,0,Riverside,Central Zone
O00145,C0595,Business,2024-11-02 10:33:00,12,North,RiverSide,Medium,1970-01-01 00:00:00.000000035,App,0,North Zone,Riverside
O00146,C0168,Passenger,2025-10-10 00:54:00,12,East,South,Medium,1970-01-01 00:00:00.000000014,Web,0,East Zone,South Zone
O00147,C0096,Retail,2024-07-12 07:43:00,6,North,WEST,Critical,1970-01-01 00:00:00.000000032,App,0,North Zone,West Zone
O00148,C0401,Medical,2025-04-03 22:05:00,2,EAST,EAST,High,1970-01-01 00:00:00.000000086,Phone,0,East Zone,East Zone
O00149,C0289,Business,2024-05-30 21:37:00,4,West,North,High,1970-01-01 00:00:00.000000031,App,0,West Zone,North Zone
O00150,C0246,Business,2025-01-15 17:37:00,6,West,RiverSide,Medium,1970-01-01 00:00:00.000000136,Web,0,West Zone,Riverside
O00151,C0446,Retail,2025-03-02 11:33:00,4,WEST,EAST,Medium,1970-01-01 00:00:00.000000179,Web,0,West Zone,East Zone
O00152,C0239,Retail,2024-09-03 18:28:00,24,EAST,North,Medium,1970-01-01 00:00:00.000000139,Web,0,East Zone,North Zone
O00153,C0378,Parcel,2025-02-09 08:07:00,24,NORTH,Airport,Low,1970-01-01 00:00:00.000000033,Web,0,North Zone,Airport
O00154,C0535,Business,2024-08-20 05:56:00,12,North,Airport,Low,1970-01-01 00:00:00.000000105,Web,1,North Zone,Airport
O00155,C0039,Retail,2024-07-26 17:47:00,24,South,CENTRAL,Low,1970-01-01 00:00:00.000000155,Phone,0,South Zone,Central Zone
O00156,C0035,Parcel,2024-04-24 07:55:00,6,West,NORTH,Medium,1970-01-01 00:00:00.000000068,Web,1,West Zone,North Zone
O00157,C0513,Business,2024-09-16 20:06:00,2,AIRPORT,North,Low,1970-01-01 00:00:00.000000060,API,0,Airport,North Zone
O00158,C0620,Business,2024-07-11 16:42:00,24,Central,West,High,1970-01-01 00:00:00.000000067,Phone,0,Central Zone,West Zone
O00159,C0505,Parcel,2024-09-14 22:31:00,12,North,South,Low,1970-01-01 00:00:00.000000105,API,0,North Zone,South Zone
O00160,C0478,Parcel,2024-08-20 17:29:00,6,Central,EAST,High,1970-01-01 00:00:00.000000068,Web,0,Central Zone,East Zone
O00161,C0025,Parcel,2024-08-19 17:36:00,12,South,AIRPORT,High,1970-01-01 00:00:00.000000123,Phone,0,South Zone,Airport
O00162,C0476,Business,2025-12-14 03:47:00,12,South,Ctr,Medium,1970-01-01 00:00:00.000000139,App,0,South Zone,Ctr
O00163,C0583,Parcel,2025-06-09 18:36:00,4,Central,north,Low,1970-01-01 00:00:00.000000067,Phone,1,Central Zone,North Zone
O00164,C0622,Parcel,2024-03-23 13:43:00,24,South,Ctr,Low,1970-01-01 00:00:00.000000211,App,0,South Zone,Ctr
O00165,C0275,Retail,2024-03-16 14:08:00,24,NORTH,Central,Low,1970-01-01 00:00:00.000000122,App,0,North Zone,Central Zone
O00166,C0517,Passenger,2025-05-30 17:32:00,4,East,South,Medium,1970-01-01 00:00:00.000000076,App,0,East Zone,South Zone
O00167,C0325,Medical,2024-04-27 20:46:00,24,East,EAST,Medium,1970-01-01 00:00:00.000000024,API,0,East Zone,East Zone
O00168,C0464,Parcel,2025-06-11 03:29:00,6,CENTRAL,RiverSide,High,1970-01-01 00:00:00.000000115,Web,0,Central Zone,Riverside
O00169,C0399,Retail,2025-12-03 12:34:00,4,East,North,Medium,1970-01-01 00:00:00.000000084,App,1,East Zone,North Zone
O00170,C0005,Business,2024-06-24 06:36:00,4,Airport,Airport,High,1970-01-01 00:00:00.000000058,App,1,Airport,Airport
O00171,C0447,Parcel,2025-05-01 02:08:00,1,Airport,AIRPORT,Critical,1970-01-01 00:00:00.000000063,App,0,Airport,Airport
O00172,C0343,Passenger,2025-01-17 19:03:00,4,East,West,High,1970-01-01 00:00:00.000000108,App,0,East Zone,West Zone
O00173,C0371,Passenger,2025-02-18 07:03:00,2,Ctr,Central,Critical,1970-01-01 00:00:00.000000249,App,1,Ctr,Central Zone
O00174,C0537,Passenger,2025-01-16 01:00:00,4,CENTRAL,north,Low,1970-01-01 00:00:00.000000019,Web,0,Central Zone,North Zone
O00175,C0562,Business,2025-12-19 19:13:00,4,Riverside,West,High,1970-01-01 00:00:00.000000150,App,0,Riverside,West Zone
O00176,C0479,Retail,2025-04-15 09:07:00,4,CENTRAL,Ctr,Medium,1970-01-01 00:00:00.000000014,Phone,0,Central Zone,Ctr
O00177,C0477,Passenger,2025-12-25 04:27:00,6,North,WEST,Low,1970-01-01 00:00:00.000000109,Web,0,North Zone,West Zone
O00178,C0287,Medical,2024-03-30 19:55:00,4,EAST,South,Low,1970-01-01 00:00:00.000000055,App,0,East Zone,South Zone
O00179,C0343,Parcel,2024-07-25 18:07:00,12,CENTRAL,RiverSide,Medium,1970-01-01 00:00:00.000000052,Web,1,Central Zone,Riverside
O00180,C0615,Parcel,2024-12-29 05:23:00,24,CENTRAL,North,Low,1970-01-01 00:00:00.000000054,Phone,0,Central Zone,North Zone
O00181,C0252,Retail,2024-12-15 23:43:00,2,AIRPORT,AIRPORT,Critical,1970-01-01 00:00:00.000000108,API,1,Airport,Airport
O00182,C0258,Passenger,2024-01-12 08:07:00,2,WEST,WEST,Medium,1970-01-01 00:00:00.000000109,Web,0,West Zone,West Zone
O00183,C0102,Business,2024-09-02 11:32:00,4,SOUTH,RiverSide,Critical,1970-01-01 00:00:00.000000011,App,0,South Zone,Riverside
O00184,C0394,Parcel,2025-06-21 11:46:00,2,Central,RiverSide,Medium,1970-01-01 00:00:00.000000051,API,0,Central Zone,Riverside
O00185,C0482,Retail,2025-05-15 01:52:00,24,EAST,Central,Low,1970-01-01 00:00:00.000000062,Web,0,East Zone,Central Zone
O00186,C0007,Parcel,2025-09-10 11:06:00,1,East,West,Low,1970-01-01 00:00:00.000000007,API,0,East Zone,West Zone
O00187,C0070,Medical,2024-12-30 17:20:00,12,South,East,Medium,1970-01-01 00:00:00.000000049,App,0,South Zone,East Zone
O00188,C0558,Passenger,2025-09-09 03:02:00,4,Riverside,Ctr,Medium,1970-01-01 00:00:00.000000138,App,1,Riverside,Ctr
O00189,C0388,Parcel,2025-11-22 07:16:00,4,North,north,Low,1970-01-01 00:00:00.000000014,App,0,North Zone,North Zone
O00190,C0622,Parcel,2024-12-28 06:44:00,1,South,north,Medium,1970-01-01 00:00:00.000000031,Phone,0,South Zone,North Zone
O00191,C0641,Parcel,2025-04-02 00:53:00,12,CENTRAL,north,Medium,1970-01-01 00:00:00.000000151,Phone,1,Central Zone,North Zone
O00192,C0404,Retail,2025-08-18 14:07:00,24,Ctr,NORTH,High,1970-01-01 00:00:00.000000083,App,1,Ctr,North Zone
O00193,C0114,Business,2024-01-22 15:07:00,4,East,Ctr,Medium,1970-01-01 00:00:00.000000202,App,1,East Zone,Ctr
O00194,C0191,Passenger,2024-03-16 08:11:00,1,CENTRAL,RiverSide,Low,1970-01-01 00:00:00.000000092,Web,1,Central Zone,Riverside
O00195,C0404,Retail,2024-06-02 17:59:00,12,Ctr,East,Medium,1970-01-01 00:00:00.000000018,App,1,Ctr,East Zone
O00196,C0314,Retail,2024-10-23 21:42:00,6,Ctr,CENTRAL,High,1970-01-01 00:00:00.000000151,App,0,Ctr,Central Zone
